User_ID,Song_ID,Stream_Count,Last_Listened_Date
1,200478,41,2026-01-16T07:16:54.389709
1,151017,54,2026-02-22T07:20:54.028238
1,188224,66,2026-03-31T05:50:24.186642
1,186555,79,2026-02-23T10:11:42.197227
1,51663,56,2026-03-08T15:19:00.020490
2,10262,85,2026-03-20T07:20:54.554258
3,203138,85,2026-02-19T20:56:57.790511
3,192560,18,2026-03-11T16:47:11.806870
3,42881,1,2026-03-11T07:54:51.919552
3,132229,95,2026-01-27T07:08:00.525814
3,222470,72,2026-03-17T23:24:57.786838
3,201038,92,2026-02-17T07:17:58.817795
3,42575,88,2026-03-25T05:02:46.766022
3,71072,40,2026-03-22T03:35:24.629042
4,75399,73,2026-01-04T11:26:13.825645
4,36202,22,2026-02-05T01:11:30.754972
4,12332,14,2026-03-17T06:33:28.351187
4,190918,65,2026-02-08T16:45:27.203416
4,122658,47,2026-02-21T00:39:05.536903
4,214209,8,2026-03-05T18:57:59.839878
4,143835,17,2026-01-02T08:26:00.928982
5,104972,80,2026-03-11T02:48:29.684787
5,225342,69,2026-01-29T13:15:45.229681
5,61525,64,2026-03-05T03:52:22.049389
5,199920,76,2026-02-20T07:12:14.830410
5,130261,64,2026-01-22T14:33:11.091785
5,35943,28,2026-01-04T01:10:04.530458
5,28638,26,2026-02-20T08:32:23.341436
5,36460,61,2026-02-18T18:01:36.348369
5,79020,19,2026-02-04T05:14:53.063548
5,226985,49,2026-03-05T15:50:29.301045
5,11827,99,2026-03-01T09:21:38.609951
5,160179,72,2026-01-28T07:14:13.948437
6,192986,81,2026-03-20T23:10:32.833805
6,137875,28,2026-01-19T18:39:31.527921
6,132643,40,2026-03-01T04:13:51.182532
6,209417,16,2026-03-14T15:57:31.871910
6,138287,20,2026-03-08T17:53:11.570160
6,232389,18,2026-01-03T12:58:22.885062
6,15759,32,2026-02-14T13:35:32.937364
6,26466,9,2026-01-10T13:04:09.644922
6,184111,48,2026-03-20T14:25:10.611016
6,182601,31,2026-01-22T21:55:59.226257
6,119535,32,2026-02-19T13:43:57.173978
6,116772,79,2026-03-26T12:53:32.431588
6,60569,11,2026-03-09T11:29:30.002012
6,37087,16,2026-01-01T06:43:57.510725
6,307,96,2026-02-22T06:18:18.622252
6,130985,83,2026-01-27T19:57:59.194412
6,134029,46,2026-01-29T04:00:17.980972
7,149882,56,2026-03-16T07:21:10.430773
7,59407,61,2026-01-12T04:17:35.220084
8,217163,14,2026-01-22T11:39:48.049982
8,38619,10,2026-02-18T23:18:19.497446
8,5812,89,2026-01-15T13:06:49.670392
8,203274,82,2026-01-18T13:23:16.222310
8,90857,82,2026-01-20T00:46:23.629626
8,35054,39,2026-03-22T02:40:06.584815
8,121786,70,2026-03-13T03:21:46.613595
8,12346,3,2026-01-03T20:14:35.449980
